Estudo em anos;Renda em 2012;UF;Genero;Idade em 2012
6;2899,96;MT;M;25
10;2589,25;MS;M;22
1;1035,7;SP;M;58
12;1632,2632;AL;M;33
15;1128,913;PR;F;22
12;1148,5913;DF;M;47
1;621,42;AL;F;39
5;3107,1;BA;M;65
12;816,1316;RN;F;34
10;1035,7;AP;M;56
5;1760,69;MG;M;52
8;310,71;PR;M;59
11;1035,7;PI;M;52
7;2071,4;RJ;M;36
16;7249,9;MG;F;36
6;1242,84;RJ;M;36
1;1035,7;AP;F;53
12;1553,55;MG;M;29
11;1242,84;SP;F;49
10;816,1316;PE;M;35
10;2174,97;PA;F;30
16;3107,1;MG;M;45
1;1398,195;MG;M;52
9;880,345;BA;M;35
8;2382,11;CE;M;43
7;3314,24;SP;M;52
16;8285,6;AP;M;67
12;621,42;BA;F;46
2;414,28;TO;M;59
10;828,56;BA;F;34
8;362,495;AP;M;44
4;1014,986;MS;M;63
16;1035,7;RJ;F;59
12;816,1316;PA;M;26
7;103,57;CE;F;51
16;2071,4;AC;M;25
3;1553,55;MS;M;69
5;517,85;MG;M;65
1;816,1316;CE;M;65
1;362,495;BA;M;50
9;1035,7;MS;M;66
12;1553,55;PA;M;40
12;4142,8;MA;M;54
9;2879,246;RJ;M;43
16;1553,55;SC;F;38
5;880,345;MS;M;47
6;932,13;MT;M;33
16;1449,98;GO;F;35
9;1449,98;BA;M;57
4;248,568;PB;M;25
16;5178,5;PA;M;49
12;1449,98;SP;M;49
12;1035,7;BA;F;45
8;2382,11;PR;F;42
9;1553,55;RJ;M;40
1;1553,55;SP;M;67
16;1035,7;MG;F;59
5;517,85;TO;M;39
2;517,85;BA;M;49
6;961,1296;CE;M;41
16;816,1316;AL;F;30
6;828,56;RJ;M;64
2;207,14;PE;M;85
12;1035,7;TO;M;56
13;2071,4;BA;F;39
6;2071,4;PR;M;42
8;724,99;ES;F;24
5;1242,84;SC;M;44
11;1864,26;PA;M;47
8;10357;MA;M;41
12;5178,5;MG;M;53
1;621,42;PA;M;35
8;372,852;RJ;M;43
12;2589,25;SP;M;40
16;8285,6;DF;M;29
5;1864,26;SP;F;61
12;1346,41;CE;M;32
5;1242,84;ES;M;60
12;828,56;GO;F;48
16;8285,6;PA;M;58
1;310,71;RR;M;57
4;1004,629;AC;M;50
16;4660,65;GO;M;64
16;8285,6;SP;M;30
12;1139,27;AP;M;45
9;1967,83;SP;F;39
13;1864,26;PA;M;24
7;4142,8;PA;M;66
9;828,56;CE;F;31
6;2448,3948;PR;F;65
7;816,1316;MS;M;60
13;14499,8;SP;M;54
12;1553,55;SC;M;47
16;1113,3775;SP;F;31
13;828,56;PE;M;36
10;2278,54;RJ;M;41
12;1035,7;SP;F;44
9;7249,9;RN;M;44
1;248,568;SE;F;40
16;5178,5;SP;M;47
12;816,1316;MG;F;42
13;1636,406;MG;M;41
1;932,13;PE;M;41
16;1014,986;SP;F;32
9;816,1316;PE;F;58
12;724,99;SP;F;36
8;816,1316;RJ;F;48
5;3107,1;AP;M;47
5;1553,55;ES;M;41
9;414,28;PR;F;47
16;3624,95;MG;M;43
1;1242,84;PA;M;39
4;621,42;PR;F;51
12;828,56;CE;F;49
1;4142,8;RJ;M;50
13;724,99;MG;F;49
9;2899,96;SP;M;53
1;816,1316;PE;M;55
13;1242,84;SP;M;46
6;1242,84;RS;F;56
15;5696,35;RJ;M;44
12;1035,7;SP;M;23
12;155,355;PI;F;25
7;1242,84;AP;M;38
16;1035,7;MG;F;48
6;1449,98;RS;M;56
12;1553,55;RN;M;32
9;414,28;RJ;F;64
16;2071,4;DF;F;36
1;816,1316;BA;M;39
6;1035,7;ES;M;39
12;1553,55;PE;F;40
12;1398,195;RJ;F;40
16;983,915;RS;F;44
9;621,42;AP;F;45
5;155,355;CE;M;36
12;517,85;PR;F;45
1;1553,55;AC;M;45
12;569,635;RJ;F;57
9;621,42;RJ;F;27
12;2247,469;ES;M;64
9;1139,27;SP;F;56
2;310,71;RN;M;33
9;1657,12;MG;M;44
16;1553,55;MT;M;38
16;5178,5;SC;M;50
5;517,85;MT;M;52
16;2589,25;BA;F;30
5;816,1316;AP;M;35
7;2071,4;RN;M;53
9;828,56;BA;M;60
15;3107,1;RR;M;28
13;1242,84;DF;F;25
1;2071,4;BA;M;50
7;1553,55;ES;M;27
7;1864,26;RS;F;43
16;2589,25;RS;M;46
12;5178,5;GO;M;59
1;932,13;AC;M;59
6;4142,8;RS;M;49
13;816,1316;PB;F;32
16;4142,8;SC;M;47
16;10357;BA;M;65
11;932,13;PA;M;34
9;1242,84;SP;F;22
12;2382,11;BA;M;52
2;1657,12;MG;M;74
2;1553,55;PR;M;59
4;362,495;RJ;M;61
9;724,99;PA;M;43
11;828,56;SP;M;51
12;1864,26;SP;M;45
12;1242,84;PA;M;43
4;1035,7;SP;M;47
11;5178,5;PR;M;60
12;1657,12;PR;M;35
16;2589,25;CE;M;54
12;838,917;AP;M;20
12;906,2375;RJ;F;28
12;983,915;PE;M;43
14;1864,26;SP;M;50
5;816,1316;MG;F;58
5;932,13;SP;F;47
12;2641,035;MG;M;35
6;62,142;MA;F;34
16;9321,3;CE;M;66
12;816,1316;SC;M;30
12;4142,8;PR;F;64
16;2071,4;SP;M;46
4;621,42;BA;M;31
1;621,42;SE;M;52
12;1553,55;SP;M;49
13;2071,4;PE;F;43
12;1553,55;RS;F;34
12;724,99;BA;M;36
1;828,56;MT;M;68
4;776,775;PA;M;37
7;1346,41;RS;M;32
5;1035,7;PE;M;33
7;1191,055;RS;M;32
7;1553,55;SP;M;37
15;1967,83;SP;F;50
12;1657,12;MS;M;28
1;621,42;SE;M;43
10;1118,556;SE;M;45
14;1553,55;CE;M;49
8;3107,1;RS;M;60
12;310,71;PE;F;55
12;517,85;SE;F;63
9;3624,95;RJ;M;53
8;1035,7;MA;F;33
5;3107,1;MA;M;73
5;776,775;MG;M;49
12;828,56;BA;M;28
12;3107,1;MS;F;31
16;4660,65;BA;F;36
8;978,7365;MG;F;47
12;2071,4;BA;F;48
16;5178,5;SP;M;31
9;1449,98;SP;M;35
11;1657,12;SC;M;53
6;1035,7;SP;F;40
1;1139,27;BA;M;30
12;1553,55;RJ;F;30
1;1139,27;CE;M;46
12;1242,84;SP;M;51
12;2796,39;PR;M;28
14;3107,1;PE;M;42
12;2174,97;RJ;M;47
9;1449,98;GO;M;57
15;2278,54;BA;M;40
13;1035,7;MG;F;42
16;1657,12;AC;F;47
9;310,71;MT;F;29
9;1553,55;GO;M;47
12;2589,25;MG;M;39
16;5178,5;MG;M;41
14;2485,68;CE;M;52
12;1449,98;GO;M;34
5;1108,199;RJ;M;61
1;1553,55;GO;M;66
15;4142,8;BA;F;54
16;3107,1;TO;M;41
12;2589,25;RJ;M;36
12;932,13;SE;F;24
5;2071,4;RO;M;59
12;1139,27;PE;M;48
12;816,1316;MG;M;23
12;2174,97;SP;M;42
12;2382,11;ES;M;39
4;103,57;GO;F;54
5;1139,27;RS;M;51
12;1553,55;TO;M;49
1;414,28;BA;M;34
5;932,13;CE;F;50
17;258,925;AP;M;44
12;3107,1;MT;M;51
1;1035,7;MT;M;36
12;1035,7;AL;M;49
5;2174,97;SP;M;53
12;816,1316;PA;M;30
16;2382,11;AL;F;39
16;31071;MT;M;38
12;2796,39;SP;M;63
9;983,915;RS;F;55
6;1864,26;BA;M;38
6;1139,27;AL;F;66
11;932,13;RJ;F;48
4;1225,2331;PA;M;50
1;3107,1;MT;M;38
12;3107,1;BA;M;60
12;1035,7;PR;F;26
10;1242,84;BA;M;74
16;2899,96;SP;M;64
12;816,1316;CE;M;31
12;816,1316;PE;M;47
1;621,42;RO;M;33
5;816,1316;BA;F;38
16;2589,25;GO;M;29
12;859,631;TO;F;44
16;16206,6336;RJ;F;69
9;816,1316;RN;F;46
16;3624,95;RJ;F;45
1;1035,7;BA;M;52
9;310,71;RS;F;65
12;828,56;GO;F;37
12;2589,25;MG;M;33
12;1843,546;RS;M;45
3;816,1316;SC;M;74
9;4349,94;MG;F;40
9;1864,26;PR;M;48
4;155,355;PI;M;43
5;1035,7;PE;F;34
12;816,1316;SP;F;39
12;857,5596;CE;M;25
16;41428;PE;M;63
12;258,925;SE;F;27
8;2071,4;MS;F;39
9;1553,55;RS;M;46
7;1242,84;ES;M;32
9;2278,54;MA;M;59
12;4142,8;SC;M;46
16;1657,12;SP;F;26
12;1553,55;PR;M;58
6;1242,84;DF;M;62
1;2796,39;RJ;M;57
12;890,702;PB;M;22
16;816,1316;PA;F;30
7;816,1316;MG;F;60
6;93,213;MA;F;26
16;3107,1;SP;M;29
12;816,1316;MG;M;65
12;932,13;ES;F;57
16;10357;DF;M;48
5;816,1316;RS;M;59
9;724,99;AC;F;25
12;1139,27;AP;F;42
12;1346,41;MS;M;38
17;51,785;MA;M;51
16;8285,6;MG;M;42
11;1139,27;RJ;F;45
12;2174,97;SC;M;53
15;816,1316;SP;F;30
2;1553,55;AP;M;40
12;10357;RJ;M;59
12;1398,195;MG;M;36
16;2382,11;PE;F;22
5;155,355;CE;F;42
12;880,345;PA;M;37
16;2071,4;AC;F;42
5;724,99;PE;M;56
12;1139,27;RS;M;44
3;776,775;PA;M;56
5;1087,485;RJ;M;51
9;816,1316;SP;M;32
12;2071,4;PA;M;40
9;10357;AP;M;36
10;1967,83;SP;M;45
12;2071,4;PR;F;25
14;2071,4;CE;F;57
9;1035,7;BA;M;64
9;1864,26;MG;M;53
17;909,3446;MS;M;22
12;207,14;MG;M;31
12;1242,84;DF;F;65
13;2993,173;PR;M;65
5;103,57;PA;M;42
3;1035,7;SC;M;64
12;828,56;PR;F;52
9;393,566;RO;F;55
6;828,56;TO;M;21
4;1242,84;MG;M;51
13;1657,12;PR;F;44
12;20714;AC;M;55
7;828,56;PA;M;38
16;932,13;AP;F;39
6;816,1316;MG;F;41
9;258,925;RR;F;27
8;2071,4;RS;M;53
9;1657,12;MS;M;47
8;3107,1;GO;M;42
10;621,42;SP;M;31
5;1449,98;RJ;M;41
16;2278,54;PR;F;41
16;8285,6;SP;M;36
12;1760,69;MT;F;39
1;911,416;PE;M;38
4;362,495;CE;M;50
9;1035,7;RJ;M;31
16;1346,41;AP;F;63
5;1553,55;SC;M;41
14;1760,69;AP;M;23
5;1864,26;PR;M;34
14;8285,6;RS;M;36
16;1553,55;ES;F;34
16;4142,8;RS;M;53
7;2071,4;RO;M;62
12;3107,1;PR;M;36
1;310,71;RJ;F;62
14;2071,4;RO;M;33
12;816,1316;RJ;F;36
12;816,1316;SP;F;53
15;3107,1;PE;M;50
12;621,42;MG;M;75
15;12428,4;DF;M;36
2;497,136;BA;M;58
16;310,71;RS;F;73
5;2485,68;MT;M;47
16;1449,98;MG;M;60
12;621,42;AP;M;30
2;129,4625;PI;M;51
12;1553,55;MT;M;30
7;621,42;RJ;M;59
12;1242,84;MG;M;40
6;1242,84;RS;M;21
12;3314,24;PE;M;50
12;1242,84;PA;M;59
8;724,99;SP;M;55
6;1632,2632;GO;M;57
5;621,42;MG;F;70
5;414,28;SP;F;34
1;816,1316;CE;M;62
13;1553,55;RS;M;39
14;2448,3948;SP;M;46
1;1657,12;SC;M;63
12;1242,84;PA;M;47
12;1553,55;RJ;M;48
9;1449,98;PI;M;34
9;724,99;PA;F;57
5;1632,2632;PA;M;52
1;1657,12;PE;M;50
9;621,42;PA;F;37
9;1553,55;MG;M;38
12;880,345;AP;M;28
15;2174,97;RS;M;29
1;816,1316;SC;M;49
12;1242,84;MT;F;32
7;2589,25;MG;F;50
4;207,14;ES;F;51
9;816,1316;PE;M;42
16;7249,9;MG;M;44
14;5178,5;PB;M;53
9;816,1316;MG;F;20
12;2071,4;PA;M;53
12;2071,4;GO;M;30
4;2071,4;RO;M;40
7;372,852;BA;M;28
1;227,854;RN;F;50
16;3624,95;SC;M;45
4;2278,54;RJ;F;22
1;816,1316;SE;M;53
16;12428,4;PR;M;73
15;2589,25;PR;M;33
8;1035,7;MA;M;17
16;10357;PB;F;38
5;1657,12;RS;M;45
9;932,13;MT;M;17
9;155,355;MA;F;58
10;1035,7;PR;M;49
5;1346,41;DF;M;63
5;1398,195;MS;F;50
16;2071,4;RJ;F;53
11;414,28;SP;F;32
1;3107,1;AC;M;65
5;880,345;MG;F;58
16;2071,4;SP;F;64
12;7249,9;RS;M;64
12;8285,6;RS;M;55
16;2174,97;GO;F;39
16;10357;GO;M;44
6;1346,41;RO;M;40
12;816,1316;RJ;F;42
16;3107,1;RJ;F;38
12;1004,629;MG;F;40
5;1242,84;RS;F;48
1;816,1316;MA;M;44
8;3728,52;SC;M;50
6;1553,55;PR;M;60
17;186,426;PE;M;16
8;724,99;SP;M;29
9;1139,27;MG;M;26
4;880,345;BA;M;51
12;2278,54;RJ;M;58
3;1553,55;MG;M;45
9;818,203;CE;M;53
4;569,635;ES;M;38
10;2589,25;SP;M;83
11;258,925;PA;F;39
6;1553,55;TO;M;29
11;2278,54;SC;M;24
5;1346,41;SP;M;30
13;2071,4;SP;M;55
16;4660,65;RJ;F;32
7;1035,7;MG;M;46
4;1864,26;RJ;M;55
12;5178,5;PR;M;33
12;880,345;BA;F;29
1;2071,4;SC;M;52
16;2589,25;MG;F;49
16;5178,5;AP;F;48
1;816,1316;SP;F;25
4;207,14;PA;F;46
9;816,1316;AP;F;52
8;2071,4;CE;F;47
16;6214,2;PE;M;38
10;1553,55;GO;M;45
9;1242,84;PR;M;41
16;4142,8;RS;M;34
3;1449,98;MG;M;56
12;310,71;PE;F;43
12;1035,7;CE;M;28
12;2692,82;SP;M;40
1;15535,5;MG;M;42
7;2278,54;RS;M;38
12;2589,25;SP;M;36
6;1242,84;PR;F;56
12;2382,11;RJ;F;55
6;207,14;ES;F;30
5;1553,55;RS;M;43
12;3624,95;RJ;M;26
16;7249,9;MG;M;36
12;466,065;PR;F;56
12;2278,54;MT;F;29
12;816,1316;RJ;M;47
7;1346,41;GO;M;31
14;816,1316;PA;M;33
5;828,56;RJ;M;60
12;4204,942;ES;M;37
3;103,57;BA;F;51
16;5178,5;MG;M;59
5;932,13;PR;M;50
15;2174,97;PA;M;65
6;1035,7;GO;M;33
12;1242,84;AP;M;37
12;880,345;PA;M;26
5;621,42;AP;F;58
6;414,28;CE;F;56
9;2589,25;GO;M;22
12;3624,95;RS;M;59
11;2589,25;PR;M;55
9;2071,4;RJ;F;36
12;828,56;MG;F;37
7;816,1316;RJ;M;56
6;600,706;BA;M;54
1;816,1316;BA;M;32
5;1341,2315;RS;M;45
12;1553,55;PB;F;41
5;517,85;GO;F;53
1;816,1316;AP;M;32
3;828,56;AL;M;46
5;816,1316;MG;F;52
11;310,71;AC;F;51
1;155,355;PR;F;68
1;1165,1625;RO;M;55
12;890,702;PE;F;41
12;1346,41;SC;M;29
9;1657,12;GO;M;33
12;2589,25;SC;M;46
1;816,1316;DF;F;30
16;3107,1;RS;M;36
16;4142,8;SC;M;52
1;816,1316;RN;F;43
3;2899,96;CE;M;45
16;1242,84;AP;F;35
1;207,14;BA;F;57
8;1242,84;MG;M;48
6;1553,55;BA;M;60
12;1139,27;ES;M;32
16;10357;SE;M;63
12;1346,41;AP;M;39
7;1242,84;SP;M;63
12;1035,7;DF;M;34
12;2071,4;PR;M;36
5;1346,41;SP;M;62
9;776,775;SP;F;54
14;5178,5;SP;M;41
16;5178,5;RJ;M;68
15;828,56;RN;F;36
15;3624,95;PR;F;45
12;1791,761;RS;M;37
6;1864,26;RS;M;61
8;1864,26;SP;M;40
12;1035,7;PR;F;54
12;816,1316;RS;M;67
3;258,925;SE;M;61
5;1139,27;MS;M;37
1;1294,625;MG;M;48
6;1553,55;RS;M;29
9;2071,4;BA;M;32
10;207,14;CE;M;39
12;1553,55;BA;F;38
16;2278,54;PR;M;50
9;1553,55;PA;M;40
6;1035,7;PE;M;53
5;983,915;AC;M;45
14;1449,98;SP;F;36
12;6214,2;DF;M;44
4;621,42;PE;M;48
4;932,13;CE;M;53
16;4142,8;GO;M;25
7;1035,7;PA;M;32
16;3728,52;AC;M;35
6;414,28;RS;F;50
7;1346,41;DF;M;45
16;3624,95;SP;F;43
16;816,1316;CE;F;52
16;1346,41;MG;F;63
9;2589,25;MG;M;58
1;2382,11;PR;M;62
12;1242,84;SC;F;46
16;12428,4;RJ;M;25
9;517,85;MS;F;36
6;310,71;PE;M;35
16;2899,96;TO;F;40
12;1657,12;AP;M;34
12;414,28;PE;F;30
9;2071,4;MT;F;48
16;2071,4;SC;F;30
13;816,1316;MA;F;22
6;1242,84;MG;M;32
12;2071,4;SC;M;39
5;1657,12;SC;M;62
16;2071,4;AC;M;22
8;1242,84;AP;F;25
8;886,5592;MG;F;58
5;1242,84;RS;M;32
9;1242,84;CE;M;30
9;817,1673;RS;F;31
12;1553,55;CE;M;33
7;310,71;PE;M;21
12;2589,25;GO;F;48
12;1657,12;BA;M;23
9;1242,84;RJ;M;41
12;1242,84;ES;F;24
14;1864,26;RS;F;36
12;2071,4;DF;F;52
12;2071,4;SC;M;35
6;816,1316;MA;M;67
16;8285,6;DF;M;51
7;2071,4;PR;M;46
16;3107,1;MA;F;35
1;673,205;AP;M;58
2;621,42;SE;M;51
12;816,1316;GO;F;48
5;517,85;SP;F;56
16;4453,51;DF;M;48
12;2071,4;PR;M;54
14;5178,5;SP;M;50
5;62,142;PE;M;72
1;1242,84;MG;M;60
12;816,1316;MG;M;55
16;1387,838;MT;F;44
5;4142,8;MG;M;55
1;517,85;BA;M;32
1;1346,41;PB;M;58
9;828,56;BA;M;67
4;2071,4;SP;M;50
10;310,71;BA;F;48
14;1242,84;RS;M;64
13;887,5949;BA;F;62
17;1449,98;PE;M;20
12;1077,128;MS;M;22
16;11392,7;SP;M;45
16;8285,6;RS;M;28
9;621,42;MS;M;24
12;12428,4;CE;M;58
3;724,99;PE;M;34
1;621,42;BA;M;57
4;1035,7;BA;M;52
12;828,56;RO;F;36
10;1346,41;SE;M;25
12;2382,11;BA;M;44
9;5178,5;RO;M;48
6;2071,4;SC;M;58
5;1657,12;PR;M;54
12;932,13;MG;F;29
12;362,495;PE;F;48
12;816,1316;RJ;F;48
15;1035,7;MG;F;34
12;1242,84;PI;M;38
12;414,28;AP;M;30
12;3107,1;SP;M;46
12;1864,26;PE;M;34
1;816,1316;ES;M;48
12;1346,41;RS;F;34
14;1553,55;RS;F;52
12;816,1316;RR;F;30
12;1242,84;PA;M;40
6;1346,41;RS;M;42
7;1035,7;BA;M;82
16;1035,7;PR;M;67
9;1242,84;PR;M;40
12;4142,8;GO;M;57
11;816,1316;RJ;F;20
12;1035,7;PA;F;28
7;1864,26;GO;M;59
13;816,1316;GO;F;36
12;621,42;SP;F;49
9;207,14;MS;F;60
12;816,1316;RJ;F;53
6;621,42;RS;F;39
15;2692,82;RS;F;31
5;1367,124;MS;M;45
12;880,345;PA;M;39
16;4080,658;MG;M;33
12;1242,84;MG;M;59
12;1553,55;RS;F;70
9;816,1316;MG;F;46
12;828,56;DF;F;33
12;816,1316;PE;F;39
15;10046,29;DF;M;34
9;1035,7;SC;F;45
4;816,1316;PE;M;62
6;1139,27;RJ;F;53
1;289,996;PA;M;26
12;3624,95;MG;M;44
13;816,1316;PA;F;43
12;932,13;RN;F;22
14;1242,84;PB;M;46
8;2485,68;MS;M;50
5;1636,406;MS;M;40
12;517,85;RR;F;50
12;2174,97;BA;M;53
12;2589,25;ES;M;61
12;816,1316;CE;M;32
12;816,1316;BA;F;31
8;1760,69;SP;M;33
16;4660,65;AP;M;31
8;155,355;BA;F;46
12;952,844;SP;F;31
9;1035,7;RJ;F;53
16;1553,55;DF;M;49
13;5178,5;RS;M;57
12;517,85;MG;F;48
7;300,353;RJ;M;59
9;816,1316;MG;M;47
12;1139,27;PA;M;31
5;724,99;BA;F;44
12;3107,1;BA;M;46
1;82,856;SE;M;62
12;362,495;AC;F;39
16;4660,65;RS;M;46
13;3624,95;PR;M;35
1;932,13;AC;M;40
1;816,1316;MA;F;54
3;517,85;PA;M;67
8;2485,68;SC;M;21
12;2448,3948;ES;M;57
9;932,13;RS;F;21
5;828,56;BA;M;33
14;994,272;RO;M;26
12;1035,7;SE;M;35
5;1760,69;PR;M;26
15;1035,7;TO;F;53
5;1553,55;MT;M;30
12;816,1316;PA;F;50
12;2071,4;CE;M;33
6;517,85;RO;M;35
5;1035,7;MG;F;60
12;5178,5;PR;M;32
12;1346,41;SP;M;33
16;776,775;GO;M;46
5;816,1316;MG;M;48
16;7249,9;RJ;M;53
16;1657,12;RN;F;40
9;621,42;CE;F;38
12;1708,905;SP;F;41
12;2382,11;PE;F;28
12;1346,41;PB;M;40
3;517,85;MG;M;46
6;816,1316;MG;M;64
9;1553,55;SC;F;51
15;3635,307;RJ;M;35
12;5178,5;MG;M;40
7;310,71;CE;M;48
16;10357;SC;M;45
12;1760,69;SP;M;58
1;414,28;MA;M;47
9;310,71;BA;M;55
16;7249,9;RS;M;32
9;1242,84;RS;M;24
12;3107,1;RJ;M;46
12;828,56;PB;F;42
6;828,56;PR;M;59
5;1294,625;RJ;M;54
5;816,1316;RN;M;38
5;1449,98;SP;M;43
4;476,422;BA;F;49
15;4142,8;RS;M;29
12;2071,4;SP;F;30
4;414,28;MG;M;25
12;1242,84;RJ;M;35
11;1035,7;SE;M;47
6;414,28;PE;F;29
12;2040,329;MG;M;46
8;1864,26;RJ;M;40
12;2589,25;CE;M;61
5;673,205;BA;M;47
12;2485,68;CE;M;35
13;1657,12;MT;M;35
12;414,28;CE;M;35
14;6214,2;DF;M;37
8;1035,7;MG;F;61
5;113,927;PB;F;34
4;983,915;RS;F;51
16;12428,4;MG;M;58
5;817,1673;RN;F;40
16;2071,4;RN;M;33
12;816,1316;GO;M;29
1;2278,54;GO;M;40
16;1967,83;PA;M;43
1;207,14;SE;M;53
